Rank,image_path,name,mudra,origin,medium,topic
16,data/crop/FS-5619_05.png,"Panthaka, the 10th of the 16 Arhats",anjali,Japan,Ink and tint on paper,portrait   Buddhism   Japan   halo   Panthaka   anjali mudra   kakemono   Japanese Art  
17,data/crop/FS-5621_02.png,"The Celestial Worthy Taiyi, Who Delivers from Suffering",vitarka,China,Ink and color on silk,Daoism   bodhisattva   lion   Southern Song dynasty (1127 - 1279)   Yuan dynasty (1279 - 1368)   China   vitarka mudra   Chinese Art  
18,data/crop/FS-5623_07.png,Star Mandala,dhyana,Japan,Color and gold on silk,Buddhism   Edo period (1615 - 1868)   mandala   Japan   throne   Aries   Cancer   Capricorn   Gemini   Leo   Pisces   Sagittarius   Scorpio   Taurus   Libra   Virgo   Aquarius   dharmachakra   dhyana mudra   kakemono   Japanese Art   zodiac  
19,data/crop/FS-5706_05.png,Dhyani Buddha,dhyana,China,Ink and color on paper,Buddhism   Buddha   Ming dynasty (1368 - 1644)   China   Dhayanibuddha   dhyana mudra   Chinese Art  
20,data/crop/FS-5719_03.png,Dhyana Buddha,dhyana,China,Color on paper panel,Buddhism   Buddha   Ming dynasty (1368 - 1644)   China   halo   dhyana mudra   Chinese Art  
21,data/crop/FS-5732_08.png,Tapestry: a Dhyani Buddha,dhyana,China,Color on silk panel,Buddhism   Ming dynasty (1368 - 1644)   China   halo   Dhayanibuddha   dhyana mudra   embroidery   Chinese Art   tapestry   slit tapestry  
22,data/crop/FS-5755_09.png,Tapestry: a Buddha - Amitabha - sitting in a cave,vitarka,China,Textile; color on silk panel,Buddhism   Ming dynasty (1368 - 1644)   lotus   Amitabha Buddha   cave   orchid   fungus-of-immortality   China   mudra   Chinese Art   painted   tapestry   slit tapestry  
23,data/crop/FS-5774_07.png,Tapestry: a Buddha Enthroned,dhyana,China,Color on silk panel,Buddhism   Buddha   Qing dynasty (1644 - 1911)   China   throne   wave   mandorla   dhyana mudra   Chinese Art   painted   tapestry   slit tapestry  
24,data/crop/FS-5781_11.png,Tapestry: a Buddha and lotuses,dhyana,China,Hanging scroll; color on silk panel,Buddhism   Buddha   Ming dynasty (1368 - 1644)   lotus   China   halo   dhyana mudra   Chinese Art   painted   tapestry   slit tapestry  
25,data/crop/FS-5828_03.png,One thousand Buddhas,undefined,Japan,"Ink, color and gold on silk",Buddhism   Buddha   Nanbokucho period (1333 - 1392)   lotus   Japan   mudra   kakemono   Japanese Art   WWII-era provenance  
26,data/crop/FS-5901_07.png,Seated figure of Bodhisattva with Sino-Tibetan style: double lotus pedestal on rectangular base,vitarka,China,"marble, traces of pigment",Buddhism   bodhisattva   Yuan dynasty (1279 - 1368)   China   mudra   Chinese Art  
27,data/crop/FS-5901_08.png,Bodhisattva Avalokiteshvara (Guanyin),vitarka,"Yunnan, China",Arsenical copper with gilding,Buddhism   bodhisattva   Tang dynasty (618 - 907)   casting   Guanyin   China   varada mudra   vitarka mudra   Chinese Art   gilding   WWII-era provenance  
28,data/crop/FS-5944_08.png,Votive plaque (sacchas) with three Buddhas,bhumisparsha,Burma,Terracotta,Buddhism   Buddha   stupa   bodhi tree   Burma   bhumisparsha mudra   South Asian and Himalayan Art   Pagan period (ca. 950 - 1300)   WWII-era provenance  
29,data/crop/FS-5944_09.png,Votive plaque (sacchas) with three Buddhas,bhumisparsha,Burma,Terracotta,Buddhism   Buddha   stupa   bodhi tree   Burma   bhumisparsha mudra   South Asian and Himalayan Art   Pagan period (ca. 950 - 1300)   WWII-era provenance  
30,data/crop/FS-5951_01.png,Buddhas of the Past and Present,dhyana,China,"Bronze, gilt",Buddhism   casting   Northern Wei dynasty (386 - 534)   China   halo   Shakyamuni   Prabhutaratna Buddha   dhyana mudra   Chinese Art   gilding  
31,data/crop/FS-5951_09.png,Bodhisattva Avalokiteshvara as the Water-Moon Guanyin,bhumisparsha,China,Marble,Buddhism   dragon   bodhisattva   Northern Song dynasty (960 - 1127)   Guanyin   China   mudra   Chinese Art  
32,data/crop/FS-5952_09.png,Buddhist stele,varada,China,Limestone,Buddhism   Period of Division (220 - 589)   China   halo   throne   Wenshu   Weimo   trident   scepter   abhaya mudra   varada mudra   cintamani   Chinese Art   Carl Whiting Bishop collection  
33,data/crop/FS-5954_03.png,Buddhist stele,dhyana,China,Sandstone,Buddhism   Buddha   bodhisattva   Northern Wei dynasty (386 - 534)   China   lettering   dhyana mudra   Chinese Art   WWII-era provenance  
34,data/crop/FS-5991_10.png,Votive plaque (tsa-tsas) of Avalokiteshvara,anjali,"Tibet,China",Terracotta with pigment,Buddhism   bodhisattva   Avalokiteshvara   lotus   mantra   prayer beads   Tibet   mandorla   anjali mudra   South Asian and Himalayan Art   WWII-era provenance  
35,data/crop/FS-5991_11.png,Votive plaque (tsa-tsas) of Aksobkya,bhumisparsha,"Tibet,China",Terracotta with pigment,Buddhism   Tibet   Akshobhya Buddha   mandorla   bhumisparsha mudra   South Asian and Himalayan Art   WWII-era provenance  
36,data/crop/FS-6004_03.png,Buddhist stele with dual images of the bodhisattva Maitreya,anjali,"Hebei,China",Marble with traces of pigment,Buddhism   dragon   bodhisattva   lion   Northern Qi dynasty (550 - 577)   Maitreya Buddha   pagoda   China   apsara   Prabhutaratna Buddha   anjali mudra   Chinese Art  
37,data/crop/FS-6010_02.png,"Amitabha (Amida), contained within a closed shrine",varada,Japan,Wood,Buddhism   Edo period (1615 - 1868)   Amitabha Buddha   shrine   Japan   mandorla   Pure Land Buddhism   varada mudra   anjali mudra   Japanese Art  
38,data/crop/FS-6010_11.png,Buddhist sculpture,vitarka,Japan,Wood,Buddhism   Japan   mudra   Japanese Art  
39,data/crop/FS-6126_08.png,"The Great Luohan, the Venerable Seventeenth",abhiseka,China,Ink and color on silk,Buddhism   prayer   Yuan dynasty (1279 - 1368)   lotus   cloud   Arhat   prayer beads   China   fly whisk   abhiseka mudra   Chinese Art  
40,data/crop/FS-6151_01_varada.png,Buddhist altarpiece,varada,China,Bronze with gilding,Buddhism   Buddha   bodhisattva   Sui dynasty (581 - 618)   casting   lotus   China   abhaya mudra   varada mudra   Chinese Art   gilding  
41,data/crop/FS-6151_01_abhaya.png,Buddhist altarpiece,abhaya,China,Bronze with gilding,Buddhism   Buddha   bodhisattva   Sui dynasty (581 - 618)   casting   lotus   China   abhaya mudra   varada mudra   Chinese Art   gilding  
